symbol
AAVE
ADA
AERO
AIOZ
AKT
ALGO
APT
AR
ARB
ATOM
AVAX
AXS
BCH
BEAM
BGB
BNB
BONK
BRETT
BSV
BTC
BTT
CORE
CRO
DAI
DOGE
DOT
DYDX
ENA
EOS
ETC
ETH
FDUSD
FET
FIL
FLOKI
FLOW
FLR
FTM
GALA
GOAT
GRT
GT
HBAR
HNT
ICP
IMX
INJ
JASMY
JUP
KAS
KCS
LDO
LEO
LINK
LTC
MATIC
MEW
MKR
MNT
MOG
NEAR
NEIRO
NEO
OKB
OM
ONDO
OP
PENDLE
PEPE
PNUT
POL
POPCAT
PYTH
QNT
RAY
RENDER
RUNE
SAND
SEI
SHIB
SOL
STRK
STX
SUI
TAO
THETA
TIA
TON
TRX
UNI
USDC
USDT
VET
WIF
WLD
XEC
XLM
XMR
XRP
XTZs
